,work,Name,Hogwarts House,cluster
713,Stargate SG-1,Daniel Jackson,,6
714,Stargate SG-1,Samantha Carter,,6
715,Stargate SG-1,Teal'c,,6
716,Stargate SG-1,George S. Hammond,,6
717,Stargate SG-1,Janet Fraiser,,6
718,Anna Karenina,Princess Anna Karenina,,2
719,Anna Karenina,Count Alexei Karenin,,3
720,Anna Karenina,Count Alexei Vronsky,,2
721,Anna Karenina,Princess Darya 'Dolly' Oblonskaya,,6
722,Anna Karenina,Prince Stepan 'Stiva' Oblonsky,,1
723,Anna Karenina,Konstantin 'Kostya' Levin,,1
724,Anna Karenina,Princess Elizaveta 'Betsy' Tverskaya,,2
725,Anna Karenina,Princess Ekaterina 'Kitty' Shcherbatskaya,,1
726,Anna Karenina,Countess Vronskaya,,3
727,Anna Karenina,Countess Lidia Ivanovna,,3
728,The Matrix,Neo,,5
729,The Matrix,Morpheus,,5
730,The Matrix,Trinity,,5
731,The Matrix,Agent Smith,,4
732,The Matrix,Cypher,,3
733,The Matrix,The Oracle,,6
734,Atlas Shrugged,Dagny Taggart,,5
735,Atlas Shrugged,Henry Rearden,,5
736,Atlas Shrugged,James Taggart,,3
737,Atlas Shrugged,John Galt,,5
738,Atlas Shrugged,Ellis Wyatt,,5
739,Atlas Shrugged,Francisco d'Anconia,,5
740,Game of Thrones,Jon Snow,,6
741,Game of Thrones,Tyrion Lannister,,5
742,Game of Thrones,Daenerys Targaryen,,5
743,Game of Thrones,Sansa Stark,,6
744,Game of Thrones,Arya Stark,,5
745,Game of Thrones,Jaime Lannister,,5
746,Game of Thrones,Samwell Tarly,,1
747,Game of Thrones,Jorah Mormont,,6
748,Game of Thrones,Theon Greyjoy,,3
749,Game of Thrones,Petyr Baelish,,4
750,Game of Thrones,Davos Seaworth,,6
751,Game of Thrones,Eddard Stark,,6
752,Game of Thrones,Brandon Stark,,6
753,Game of Thrones,Brienne of Tarth,,6
754,Game of Thrones,Sandor Clegane,,5
755,Game of Thrones,Varys,,4
756,Game of Thrones,Catelyn Stark,,6
757,Game of Thrones,Tywin Lannister,,4
758,Game of Thrones,Margaery Tyrell,,5
759,Game of Thrones,Robb Stark,,6
760,Game of Thrones,Bronn,,2
761,Game of Thrones,Stannis Baratheon,,3
762,Game of Thrones,Joffrey Baratheon,,3
763,Game of Thrones,Melisandre,,4
764,Game of Thrones,Olenna Tyrell,,5
765,Game of Thrones,Ygritte,,5
766,Game of Thrones,Cersei Lannister,,4
767,Game of Thrones,Shae,,2
768,Game of Thrones,Oberyn Martell,,2
769,Game of Thrones,Asha Greyjoy,,5
770,Inception,Dom Cobb,,5
771,Inception,Arthur,,6
772,Inception,Ariadne,,6
773,Inception,Mal Cobb,,4
774,Inception,Mr. Saito,,4
775,Inception,Robert Fischer,,3
776,Lord of the Rings,Frodo Baggins,,1
777,Lord of the Rings,Aragorn,,5
778,Lord of the Rings,Boromir,,5
779,Lord of the Rings,Merry Brandybuck,,1
780,Lord of the Rings,Samwise Gamgee,,6
781,Lord of the Rings,Gandalf,,6
782,Lord of the Rings,Gimli,,5
783,Lord of the Rings,Legolas,,6
784,Lord of the Rings,Pippin Took,,1
785,Lord of the Rings,Gollum,,3
786,Marvel Cinematic Universe,Tony Stark,,5
787,Marvel Cinematic Universe,Captain America,,6
788,Marvel Cinematic Universe,Black Widow,,5
789,Marvel Cinematic Universe,Bruce Banner,,6
790,Marvel Cinematic Universe,Captain Marvel,,5
791,Marvel Cinematic Universe,Thor,,5
792,Marvel Cinematic Universe,Nick Fury,,5
793,Marvel Cinematic Universe,Dr. Strange,,6
794,Marvel Cinematic Universe,Black Panther,,6
795,Marvel Cinematic Universe,Gamora,,5
796,Marvel Cinematic Universe,Thanos,,4
797,Marvel Cinematic Universe,Peggy Carter,,6
798,Marvel Cinematic Universe,Loki,,2
799,Marvel Cinematic Universe,Hawkeye,,5
800,Marvel Cinematic Universe,Peter Jason Quill,,2
